"tree_ID","latitude","longitude","GUD","SRS","GUD_DOY","SRS_DOY","pheno_lag","dNDVI","NDVIseas","ratio","gup_rate","rain_sum","MAP","soil_texture","slope","elevation","curvature","admin","resid_trend"
"tree_708458",-7.20452,35.87799,102.666666666667,145.333333333333,283.666666666667,325.333333333333,-42.6666666666667,0.21859807405076,0.602149503730509,0.364702484863064,103.333333333333,787.417036912014,894.743541118454,1.60955069723516,4.75454378128052,904,-4,"United Republic of Tanzania",8.34680372681831
"tree_709187",-2.41788,35.8112,76,166,257,346,-90,0.351511587992215,0.521525774489933,0.674006166494846,240,461.927041135728,1094.20916610762,-1.03697448854164,3.93058705329895,1125,-6,"United Republic of Tanzania",-11.1830345620886
"tree_711208",-5.27582,34.27077,86,144.666666666667,267,324.666666666667,-58.6666666666667,0.080859236513833,0.621827966519856,0.132674809274905,125,1079.03404752936,991.029803400492,1.71440272111585,3.3446958065033,1172,0,"United Republic of Tanzania",-1.74289486096316
"tree_7114",-28.64437,29.56794,107.666666666667,111.666666666667,288.666666666667,291.666666666667,-4,0.00438720417599101,0.570724731120383,0.00794298821385775,113.333333333333,727.61802356541,727.589255792084,-1.19675555553582,17.6391925811768,1143,-22,"South Africa",15.6015717919392
"tree_71292",-23.81888,28.60482,104.333333333333,127.333333333333,285.333333333333,307.333333333333,-23,0.128414764188248,0.585578474789099,0.222228110225152,110,552.59144049904,617.278369340899,1.66044588300954,11.0145559310913,983,10,"South Africa",7.58787714484068
"tree_714495",-4.01646,30.79562,66,102,247,282,-36,0.221628405240138,0.443718616171162,0.499479618756059,260,1312.01689505577,1559.70575825766,-1.41123211876448,0.927409946918488,1155,-6,"United Republic of Tanzania",-13.9581634984485
"tree_715462",-7.21975,34.01106,119.75,145.5,300.75,325.5,-25.75,0.0109333960044105,0.458473305011865,0.0319501993850171,110,995.480103242459,983.262621926842,1.9493620602253,2.07634878158569,1258,-2,"United Republic of Tanzania",33.5658908890557
"tree_716646",-6.83555,31.39563,76,140,257,320,-64,0.408024146213001,0.676362524477146,0.603262498211915,120,1092.48545265198,978.305996520262,1.25101806904149,3.34768605232239,1007,12,"United Republic of Tanzania",-15.1277995292554
"tree_71797",-24.81447,28.07701,92.25,109,273.25,289,-16.75,0.0769856544815603,0.586966290911151,0.128283346256255,170,762.168824106222,770.173041737268,0.827315445975824,26.6302261352539,1281,6,"South Africa",3.47171634501637
"tree_719050",-4.32233,34.76559,106,133.666666666667,287,313.666666666667,-27.6666666666667,0.164673213025028,0.545412205735383,0.292556083629393,156.666666666667,877.98584396982,946.516964707834,-0.100251814790116,24.122444152832,1627,-10,"United Republic of Tanzania",26.4553811299612
