tree_id_num,lon_tr,lat_tr
tree_1041064,34.47621471,-3.261749988
tree_1089872,34.44213927,-3.28599959
tree_1318889,34.50289812,-3.28338532
tree_1002161,34.54436558,-1.383532688
tree_911345,34.55139702,-1.364782067
tree_1002184,30.90406306,-3.375245336
tree_867161,32.709881,-6.14042112
tree_1382112,32.70681602,-6.123383295
tree_100227,27.49700446,-33.15065112
tree_1002303,39.60375686,-10.38392114
tree_558128,39.61700842,-10.36255625
tree_1002316,37.4770168,-8.604775635
tree_996722,37.47692666,-8.60234166
tree_1613925,37.48341722,-8.620641545
tree_1002330,31.21209421,-1.499281717
tree_1934774,31.25527446,-1.487382284
tree_1509427,31.25446314,-1.502617164
tree_1285566,31.15674416,-1.522359405
tree_1417217,31.25085727,-1.515598363
tree_306934,31.220568,-1.44861898
tree_1700191,31.18486992,-1.48557934
tree_1038408,31.25527446,-1.488464051
tree_720286,31.25509417,-1.485939928
tree_1745821,31.16828293,-1.475122262
tree_1766442,31.24950507,-1.511992475
tree_455676,31.23589293,-1.532906629
tree_1363093,30.01125052,-4.671922928
tree_746537,37.54273372,-4.405988634
tree_100238,27.1239777,-32.29506387
tree_145174,27.11568421,-32.29903035
tree_1002381,38.36270776,-7.225613337
tree_10024,28.28416484,-31.12432194
tree_245481,28.28064912,-31.12008502
tree_164394,28.28650865,-31.12008502
tree_1002484,39.72635632,-10.48317323
tree_264689,26.16157227,-33.40648893
tree_100253,25.55173031,-33.0769107
tree_45096,25.53361084,-33.07754173
tree_118159,25.59914744,-33.02408443
tree_192890,25.53974081,-33.07772202
tree_261324,25.60879313,-33.03066518
tree_226162,25.64232768,-33.20951726
tree_144003,25.52432574,-33.17706426
tree_1002560,38.33845831,-9.349932544
tree_1899175,38.34053168,-9.352546813
tree_1000317,38.34071198,-9.35200593
tree_792870,38.35026752,-9.332984867
tree_726721,38.34440799,-9.347318274
tree_890023,38.34170359,-9.317118956
tree_1002572,39.48494356,-9.384819517
tree_324144,39.48440268,-9.395006153
tree_100259,30.33265687,-25.16721344
tree_175765,30.32733822,-25.17108977
tree_1002597,30.20335306,-5.905407321
tree_1002685,34.83662106,-11.32559899
tree_1381099,34.85437996,-11.28539333
tree_1916996,34.80182445,-11.31775618
tree_1218319,34.79452257,-11.31559265
tree_1714946,34.79830873,-11.30477498
tree_584592,34.84725837,-11.34173534
tree_1624940,34.86114096,-11.35192197
tree_1697128,34.85230658,-11.2878273
tree_10027,27.81549251,-31.49942452
tree_1002723,37.48323692,-6.484152464
tree_1002751,32.28321685,-5.927763831
tree_1002762,31.81202025,-3.573118481
tree_843645,38.97687697,-7.864937411
tree_1002871,38.77026082,-7.587644567
tree_1432437,38.77467801,-7.588095303
tree_100291,30.56766914,-27.18272496
tree_100293,27.18753108,-25.69015746
tree_61334,27.18852269,-25.6904279
tree_1002962,35.55382791,-10.29746996
tree_1002999,33.1663837,-7.27285048
tree_1402478,33.16079461,-7.278169166
tree_736480,33.15024745,-7.274563277
tree_862546,33.19036271,-7.229219226
tree_593602,33.1542139,-7.28159476
tree_292937,33.19441931,-7.283758293
tree_1003026,35.37714045,-11.05551792
tree_1003043,32.68797537,-6.603507382
tree_1608566,32.69825209,-6.604138412
tree_1441614,32.66715149,-6.56564555
tree_1841601,32.71024159,-6.627396394
tree_981096,32.66742193,-6.5640229
tree_1003070,35.94073738,-9.094545473
tree_1154840,35.94064724,-9.091300173
tree_1344017,35.93983592,-9.089046493
tree_1003110,37.13157479,-11.05723072
tree_1889329,37.12697731,-11.07093309
tree_1024805,37.12887039,-11.04370863
tree_1866943,37.13211567,-11.02919493
tree_728898,37.18521206,-11.06236911
tree_1075166,37.13013245,-11.07372766
tree_668010,35.66858461,-8.505703841
tree_100313,19.66578636,-34.48302701
tree_1003172,31.19208165,-3.402559943
tree_597980,31.17910053,-3.404453035
tree_670170,31.20316969,-3.41238599
tree_100319,30.21600713,-25.14729091
tree_14801,30.22159623,-25.14161163
tree_259472,30.26261294,-29.21906048
tree_126134,30.22727546,-29.23186138
tree_173377,30.26081001,-29.22762446
tree_100333,30.89562258,-22.95247658
tree_100334,29.51619884,-30.64708257
tree_239155,29.51601855,-30.6364452
tree_100336,28.8016065,-32.09403557
tree_1003361,38.92693572,-8.039101838
tree_1943910,38.93297555,-8.043609199
tree_1645876,38.9342376,-8.045231849
tree_892423,38.90521038,-8.032250649
tree_586956,38.9073739,-8.05136186
tree_1726587,31.54834126,-5.844648095
tree_100340,30.44074268,-29.3495035
tree_100343,28.09999527,-31.17624674
tree_13419,28.10035586,-31.17606645
tree_1003527,34.36371167,-6.465041254
tree_1902757,34.34045383,-6.442324155
tree_1538308,34.39922946,-6.431686783
tree_1458314,34.36551461,-6.473154503
