tree_ID,latitude,longitude,elevation,slope,curvature,num,swb
tree_240872,-26.291979045481316,28.040949956169122,1617,9.408123970031738,20.0,2,0
tree_4054876,-12.205781376970013,29.44960673355899,1177,1.897191047668457,6.0,2,0
tree_3940334,-10.487934991635255,31.216213388913186,1264,3.879387855529785,-4.0,2,0
tree_3980018,-12.393108212225275,30.05485389684637,1179,2.8465118408203125,-12.0,2,0
tree_922520,-2.0610812298227006,34.312327777958586,1209,0.0,-10.0,2,0
tree_224430,-28.17858011018373,30.038145645199098,1379,1.8543341159820557,-2.0,4,0
tree_4147752,-17.880807942073726,30.176203872914847,1149,1.3451215028762817,-6.0,3,0
tree_3550231,-14.501924118825114,23.379490437816813,1055,0.0,-2.0,3,0
tree_1443805,-9.125465582956974,39.002838339674085,144,1.3198707103729248,6.0,3,0
tree_4984547,-13.31260606315319,32.95221277463652,1113,3.368910551071167,-2.0,2,0
tree_4939957,-16.155398921352326,34.802110978568024,87,0.9655321836471558,4.0,3,0
tree_200721,-33.26937525526497,26.06691929711179,470,15.127447128295898,2.0,2,0
tree_4633808,-15.524552058917124,34.824018542043596,376,4.003676414489746,-10.0,2,0
tree_3522354,-13.96437502773116,28.003114483730638,1153,0.9556484818458557,0.0,3,0
tree_2616063,-12.856194774827737,28.192421159853623,1255,0.951251745223999,-8.0,2,0
tree_4594194,-17.407532333564145,31.540033307414426,1145,25.42119598388672,0.0,3,0
tree_283226,-25.780667304985833,26.470775620421332,1347,7.538533687591553,28.0,3,0
tree_2315991,-15.67257191838626,29.26318509581759,708,28.280744552612305,2.0,2,0
tree_1885989,-9.556370813256715,37.15086665375272,390,2.078889846801758,14.0,2,0
tree_2565250,-13.082284575540601,28.73708697622888,1295,0.9274099469184875,0.0,2,0
tree_111497,-30.70207457834983,29.19518826385359,1463,25.088760375976562,-6.0,3,0
tree_3881588,-11.751532752655482,32.79927898580649,700,1.3255482912063599,-2.0,2,0
tree_3500934,-16.84358536423379,25.712398467857582,1047,5.174155235290527,-12.0,2,0
tree_1933377,-7.056407021349659,32.706547520299026,1088,2.0761990547180176,4.0,2,0
tree_3583739,-12.41627770129898,24.99176314661019,1135,2.083042621612549,-8.0,2,0
tree_239491,-28.563150821437116,30.981713723613517,803,20.33184242248535,14.0,2,0
tree_1210590,-10.99944739167814,39.28932666415589,499,24.500667572021484,-8.0,3,0
tree_1267042,-3.06757168320229,37.19711199077802,3162,39.20524597167969,-32.0,1,0
tree_1158945,-11.52924210604015,35.6745340996747,555,2.0816283226013184,12.0,2,0
tree_1867937,-8.75712599953813,38.7404202426788,172,3.3524703979492188,10.0,2,0
tree_2322188,-15.133582537652043,27.6818317937288,1072,0.9274099469184875,4.0,2,0
tree_278277,-31.581547538221997,28.146242709344143,871,8.518135070800781,-4.0,2,0
tree_2642479,-10.143393630538652,29.92549091618485,1411,2.0993778705596924,-4.0,2,0
tree_2150566,-15.252667290385366,23.133209827533946,1014,3.9494247436523438,10.0,2,0
tree_1861202,-8.348667883941433,38.505501421880105,100,2.9586408138275146,2.0,2,0
tree_352209,-6.036302932453898,38.68345076761997,94,1.3151006698608398,-14.0,3,0
tree_28807,-27.23924817777009,31.02543520944255,915,8.585505485534668,-18.0,3,0
tree_4443647,-16.8136425006599,30.907563332195767,1390,2.147341012954712,0.0,2,0
tree_4178905,-19.148454566850482,27.121857883437077,1005,0.9274099469184875,-2.0,2,0
tree_4019005,-13.568357804073578,27.196842126751815,1138,0.0,-6.0,4,0
tree_229055,-32.78095653957788,22.30068228355244,753,2.39197718945457,8.0,2,0
tree_4346139,-16.611894932597796,29.045313418346222,492,2.1454973220825195,2.0,3,0
tree_73013,-24.996204411259423,30.468868052355653,1223,33.92741012573242,-64.0,4,0
tree_1471767,-9.945895585780484,38.4823319328064,342,0.9415576457977295,-2.0,3,0
tree_4789196,-13.521207269534438,34.15702174736811,674,3.4063773155212402,-2.0,2,0
tree_3421967,-10.500469524696493,31.166989372384194,1222,0.9274099469184875,-4.0,2,0
tree_4957384,-15.497057241821578,34.79183275063983,381,2.9416491985321045,-2.0,2,0
tree_143824,-25.18443198492748,29.589305910462407,1124,5.5120463371276855,4.0,2,0
tree_15378,-29.684851068734588,30.151371139148207,1206,14.840509414672852,0.0,3,0
tree_2634712,-12.512732516186066,28.39407954589466,1320,2.6535465717315674,-16.0,2,0
tree_449430,-5.559602734335266,33.19496177688506,1205,7.219533443450928,2.0,2,0
tree_2770396,-12.252570724323823,27.41409398917676,1277,3.9747493267059326,-8.0,3,0
tree_249805,-32.58777044553839,28.021205056704463,417,4.755362510681152,20.0,3,0
tree_3269273,-14.434943961901302,28.295818795080926,1200,2.6645188331604004,-10.0,3,0
tree_5039617,-23.74614002193641,25.57284198218788,1100,1.3734063911663308,8.0,2,0
