"tree_ID","rainyear","GUD","GUD_DOY","latitude","longitude"
"tree_3758301",2023,91,272,-16.19759093552,26.1361780546739
"tree_3758528",2019,61,242,-15.0687695038402,27.0005926302886
"tree_3758528",2021,71,252,-15.0687695038402,27.0005926302886
"tree_3758528",2023,51,232,-15.0687695038402,27.0005926302886
"tree_3758640",2020,111,292,-11.8176968940865,32.2032264888913
"tree_3758640",2021,106,287,-11.8176968940865,32.2032264888913
"tree_3758640",2022,131,312,-11.8176968940865,32.2032264888913
"tree_3758640",2023,116,297,-11.8176968940865,32.2032264888913
"tree_3758726",2023,76,257,-13.2151613278322,22.7835315820238
"tree_3759040",2019,36,217,-12.374897243523,25.2952896962172
"tree_3759257",2020,81,262,-15.9227319465856,26.2220870955696
"tree_3759257",2021,166,347,-15.9227319465856,26.2220870955696
"tree_3759257",2022,126,307,-15.9227319465856,26.2220870955696
"tree_3759257",2023,151,332,-15.9227319465856,26.2220870955696
"tree_3759396",2019,1,182,-16.3699530276399,26.0353042706429
"tree_3759396",2020,101,282,-16.3699530276399,26.0353042706429
"tree_3759396",2021,81,262,-16.3699530276399,26.0353042706429
"tree_3759396",2022,121,302,-16.3699530276399,26.0353042706429
"tree_3759396",2023,101,282,-16.3699530276399,26.0353042706429
"tree_3759402",2021,66,247,-12.4282637649306,26.2082950960113
"tree_3759402",2023,81,262,-12.4282637649306,26.2082950960113
"tree_3759506",2019,96,277,-14.3908612888869,25.9411013017878
"tree_3759506",2020,106,287,-14.3908612888869,25.9411013017878
"tree_3759506",2021,81,262,-14.3908612888869,25.9411013017878
"tree_3759506",2023,NA,NA,-14.3908612888869,25.9411013017878
"tree_3760292",2021,96,277,-15.1087052128749,29.4394221467529
"tree_3760292",2022,96,277,-15.1087052128749,29.4394221467529
"tree_3760699",2020,111,292,-17.3372346054566,26.0150198199507
"tree_3760699",2021,101,282,-17.3372346054566,26.0150198199507
"tree_3760699",2022,116,297,-17.3372346054566,26.0150198199507
"tree_3760699",2023,96,277,-17.3372346054566,26.0150198199507
"tree_3760919",2019,51,232,-12.1308684792721,27.5192083783096
"tree_3760919",2020,41,222,-12.1308684792721,27.5192083783096
"tree_3760919",2021,51,232,-12.1308684792721,27.5192083783096
"tree_3760919",2023,NA,NA,-12.1308684792721,27.5192083783096
"tree_3761340",2023,81,262,-14.2268823067475,30.9966160393341
"tree_3761443",2019,76,257,-16.6848369076301,25.0999409381668
"tree_3761443",2020,71,252,-16.6848369076301,25.0999409381668
"tree_3761606",2020,61,242,-13.3852671148191,24.9459726378924
"tree_3762224",2021,76,257,-9.12022168011812,31.4470788868543
"tree_3762224",2022,71,252,-9.12022168011812,31.4470788868543
"tree_3762224",2023,81,262,-9.12022168011812,31.4470788868543
"tree_3762501",2019,101,282,-15.8180723857602,26.0261096042707
"tree_3762501",2020,91,272,-15.8180723857602,26.0261096042707
"tree_3762501",2021,81,262,-15.8180723857602,26.0261096042707
"tree_3762501",2022,91,272,-15.8180723857602,26.0261096042707
"tree_3762501",2023,1,182,-15.8180723857602,26.0261096042707
"tree_3762670",2019,111,292,-15.3985244858436,26.6082764605054
"tree_3762670",2021,91,272,-15.3985244858436,26.6082764605054
"tree_3762670",2022,71,252,-15.3985244858436,26.6082764605054
"tree_3762670",2023,91,272,-15.3985244858436,26.6082764605054
"tree_3762933",2021,116,297,-9.94885642887997,31.5588596320621
